Card Name,Score,GPU,Base/Boost,Memory,Power,Buy
AMD Radeon RX 590,42.6%,Polaris 30,1469/1545 MHz,8GB GDDR5,225W,https://www.amazon.com/XFX-RX-590P8DFD6-Radeon-1580MHz-Graphic/dp/B07JQDKNXS?tag=hawk-future-20&ascsubtag=tomshardware-deal&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
AMD Radeon RX 5500 XT 8GB,42.0%,Navi 14,?/1717 MHz,8GB GDDR6,130W,
AMD Radeon R9 Fury X,41.9%,Fiji,1050 MHz,4GB HBM,275W,
AMD Radeon RX 580 8GB,39.1%,Polaris 20,1257/1340 MHz,8GB GDDR5,185W,http://www.amazon.com/gp/product/https://www.amazon.com/MSI-Radeon-RX-580-8G/dp/B078Q78L93?tag=hawk-future-20&ascsubtag=tomshardware-deal&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce GTX 1650 Super,38.5%,TU116,1530/1725 MHz,4GB GDDR6,100W,
AMD Radeon RX 5500 XT 4GB,37.8%,Navi 14,?/1717 MHz,4GB GDDR6,130W,
Nvidia GeForce GTX 980,37.0%,GM204,1126/1216 MHz,4GB GDDR5,165W,
Nvidia GeForce GTX 1060 6GB,36.3%,GP106,1506/1708 MHz,6GB GDDR5,120W,http://redirect.viglink.com?key=6c0b046b3e0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814137095
AMD Radeon R9 390,34.3%,Hawaii,1000 MHz,8GB GDDR5,275W,
Nvidia GeForce GTX 1060 3GB,33.1%,GP106,1506/1708 MHz,3GB GDDR5,120W,http://redirect.viglink.com?key=6c0b046b3e0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814487263
Nvidia GeForce GTX 970,31.5%,GM204,1050/1178 MHz,4GB GDDR5,145W,
AMD Radeon RX 570 4GB,30.1%,Polaris 20,1168/1244 MHz,4GB GDDR5,150W,http://redirect.viglink.com?key=6c0b046b3e0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814125966
Nvidia GeForce GTX 1650,29.0%,TU117,1485/1665 MHz,4GB GDDR5,75W,
Nvidia GeForce GTX 1050 Ti,22.4%,GP107,1290/1392 MHz,4GB GDDR5,75W,http://redirect.viglink.com?key=6c0b046b3e0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814126170
AMD Radeon RX 560 4GB,17.1%,Polaris 21,1175/1275 MHz,4GB GDDR5,80W,https://www.newegg.com/powercolor-radeon-rx-560-axrx-560-4gbd5-dha/p/N82E16814131732
Nvidia GeForce GTX 1050,16.9%,GP107,1354/1455 MHz,2GB GDDR5,75W,https://www.newegg.com/gigabyte-geforce-gtx-1050-gv-n1050oc-2gd/p/N82E16814125919
AMD Radeon RX 550,10.8%,Polaris 22,1100/1183 MHz,4GB GDDR5,50W,https://www.newegg.com/powercolor-radeon-rx-550-axrx-550-2gbd5-dha-oc/p/N82E16814131738
Nvidia GeForce GT 1030,7.8%,GP108,1228/1468 MHz,2GB GDDR5,30W,
